,time_in,sample_receipt_in,sample_receipt_out,sample_prep_auto_in,sample_prep_auto_out,sample_prep_manual_in,sample_prep_manual_out,sample_heat_in,sample_heat_out,rna_extraction_in,rna_extraction_out,pcr_prep_in,pcr_prep_out,pcr_in,pcr_out,data_analysis_in,data_analysis_out,priority
80,2880,23.0,49.418586802487425,,,69.0,163.9057146525397,169.0,215.5260107646568,235.0,359.5925613904992,367.0,403.3343634032126,404.0,511.63420516942733,512.0,523.2902157375656,1
81,2880,23.0,48.87950010373379,,,71.0,121.82230912798377,122.0,213.30020782098245,242.0,365.83663862777394,370.0,406.56733513671634,407.0,513.5731879393811,514.0,524.1838693074069,1
82,2880,23.0,45.563081348327614,,,46.0,267.22656047183455,269.0,293.8539168455586,329.0,456.9117163463229,459.0,496.4083247987064,497.0,604.7619966443735,605.0,617.2686339806905,1
83,2880,23.0,45.67158903825384,,,46.0,241.06627501096318,242.0,268.69838914188085,278.0,403.16216482394384,405.0,439.8742301476336,440.0,551.0645959230524,552.0,564.0554658927003,1
84,2880,23.0,45.67158903825384,,,46.0,241.06627501096318,242.0,268.69838914188085,278.0,401.8319748936924,403.0,438.9171203596138,439.0,544.8175001302902,545.0,555.5958038849622,1
85,2880,24.0,48.76336968901387,,,74.0,244.5706181337755,263.0,396.2584330175937,415.0,538.8619214048758,540.0,580.0902994458474,581.0,686.2462523752556,687.0,698.700183565873,1
86,2880,24.0,48.76336968901387,,,74.0,244.5706181337755,263.0,396.2584330175937,492.0,619.1953364021947,621.0,657.3112491360539,658.0,768.8441321652795,769.0,779.5216411731817,1
87,2880,25.0,47.87698897701193,,,75.0,725.1023036310194,737.0,761.259060129541,778.0,905.0560452300278,907.0,943.9208093769416,944.0,1050.3546761169364,1051.0,1061.947748724499,1
88,2880,25.0,47.87698897701193,,,75.0,725.1023036310194,737.0,761.259060129541,778.0,902.7556181020877,904.0,940.0809053818666,941.0,1050.9567964556577,1051.0,1061.5937244052407,1
89,2880,26.0,50.21083380593791,84.0,598.5371304289247,,,599.0,646.5088460359661,680.0,810.868981145451,812.0,851.5460707766624,852.0,957.1360906782015,958.0,968.2336252397099,1
90,2880,26.0,50.21083380593791,84.0,598.5371304289247,,,599.0,646.5088460359661,688.0,818.3256135597908,820.0,856.6919445669937,857.0,962.168457256766,963.0,973.9440537595078,1
91,2880,46.0,70.74054025325495,85.0,171.47266443528042,,,184.0,220.8803761277768,249.0,377.1244365201833,382.0,417.61056635604564,418.0,522.8325649773706,523.0,533.5835119711378,1
92,2880,46.0,327.6949479517343,,,329.0,377.75839937348474,378.0,507.00042293583465,520.0,647.3716590925646,651.0,688.344437779177,689.0,797.4023859869553,798.0,809.4909962061965,1
93,2880,46.0,327.6949479517343,,,329.0,377.75839937348474,378.0,507.00042293583465,527.0,649.1956713526747,661.0,698.8568718054617,699.0,808.8141272109519,809.0,819.579398854029,1
94,4320,0.0,23.417348342579317,,,24.0,72.18753072442541,73.0,107.49121773608385,118.0,242.4586695418211,274.0,312.51887025183714,313.0,416.56066817400097,417.0,428.27297464997173,1
95,4320,0.0,23.417348342579317,,,24.0,72.18753072442541,73.0,107.49121773608385,148.0,272.71958235240527,334.0,370.5565499208042,371.0,478.2211573662662,479.0,489.23005695623215,1
96,4320,0.0,26.967983242881928,,,27.0,91.71650110833525,92.0,232.63303959592213,257.0,382.17438035740633,384.0,421.8342364055052,422.0,531.2217277908276,532.0,542.7009799855186,1
97,4320,0.0,26.967983242881928,,,27.0,91.71650110833525,92.0,232.63303959592213,264.0,391.52963444641864,393.0,428.19012062593265,429.0,538.5148331459932,539.0,549.365024550164,1
98,4320,0.0,25.39197847680498,,,26.0,291.1212518722896,310.0,338.9671664290072,348.0,472.4178166461734,474.0,513.3578713470351,514.0,625.3005570049218,626.0,637.318391402494,1
99,4320,0.0,25.39197847680498,,,26.0,291.1212518722896,310.0,338.9671664290072,355.0,479.21846217430175,481.0,519.8289873497442,520.0,624.8773190477305,625.0,636.2395486170644,1
100,4320,0.0,22.26551766857756,23.0,84.87750387213964,,,85.0,131.5876190865847,210.0,342.006364992988,344.0,379.9268628373975,380.0,485.8298054430752,486.0,496.7589676148864,1
101,4320,0.0,26.069200751097924,,,27.0,702.7495531155646,711.0,735.8160569409301,751.0,874.5236386090346,887.0,933.2890831334635,934.0,1039.7810944935254,1040.0,1052.1283159448367,1
102,4320,0.0,26.069200751097924,,,27.0,702.7495531155646,711.0,735.8160569409301,758.0,885.4992626322282,1689.0,1725.5094398229048,1726.0,1832.6380586933865,1833.0,1843.0994465316971,1
103,4320,0.0,24.61928383283339,,,25.0,277.1621214750703,288.0,316.3091917843258,328.0,452.95284845307015,454.0,489.9140183864274,490.0,597.38308274266,598.0,608.5481074061117,1
104,4320,0.0,24.61928383283339,,,25.0,277.1621214750703,288.0,316.3091917843258,328.0,457.5245050500098,459.0,495.3716141479881,496.0,604.0341375580338,605.0,615.0322083401397,1
105,4320,0.0,25.5575849037441,,,26.0,578.3988317761896,587.0,690.8426981309549,715.0,844.4754701600823,846.0,882.5137717360685,883.0,1015.2322282069008,1016.0,1026.8569029278724,1
106,4320,0.0,25.5575849037441,,,26.0,578.3988317761896,587.0,690.8426981309549,722.0,850.8806362064597,852.0,888.0113794159806,889.0,1010.65430778254,1011.0,1022.7752527468128,1
107,4320,0.0,24.065183237802557,,,25.0,73.47687142621817,74.0,221.3645259435434,243.0,367.7390984414933,369.0,406.91993540331987,407.0,512.4833915870677,513.0,525.0093104676525,1
108,4320,0.0,24.065183237802557,,,25.0,73.47687142621817,74.0,221.3645259435434,243.0,368.4007000222191,370.0,405.50264722070733,406.0,513.2627314070996,514.0,525.0894585392116,1
109,4320,0.0,25.80115999582813,,,26.0,91.6584856000427,98.0,592.5899867389244,608.0,733.508376403006,735.0,771.5023508996255,772.0,878.0322454468715,879.0,899.6731684607212,1
110,4320,0.0,25.80115999582813,,,26.0,91.6584856000427,98.0,592.5899867389244,615.0,738.0019002931886,740.0,777.4749781620512,778.0,893.9551061835336,894.0,905.9320690931463,1
111,4320,23.0,46.96853580256084,,,47.0,122.76526435353117,123.0,212.43497834295067,228.0,354.2331482727777,363.0,400.8679661856713,401.0,508.3570596596901,509.0,519.6152980438237,1
112,4320,23.0,47.41661157380531,,,48.0,166.57483942198905,202.0,237.56513693218312,250.0,375.06416161182096,392.0,428.4301538085001,429.0,535.319135923507,536.0,546.0709205627481,1
113,4320,23.0,45.76930722185625,,,46.0,143.51862176933355,145.0,268.8203284111296,278.0,407.48699151598976,409.0,444.5262349623017,445.0,549.6768313640405,550.0,561.9064878119943,1
114,4320,23.0,45.76930722185625,,,46.0,143.51862176933355,145.0,268.8203284111296,285.0,411.39611371248066,413.0,449.21902344940736,450.0,561.9724597950972,562.0,572.0117004512331,1
115,4320,23.0,46.711577776573904,,,47.0,123.94368552092692,128.0,691.330825005024,722.0,847.1198335287036,849.0,887.1956704099766,888.0,1014.6041876516847,1015.0,1025.4186942323877,1
116,4320,24.0,49.833244516149534,,,70.0,588.4130260508891,591.0,639.0293696663975,664.0,793.9950388013995,798.0,835.149697572816,836.0,944.6477720960047,945.0,955.1629466510403,1
117,4320,24.0,49.833244516149534,,,70.0,588.4130260508891,591.0,639.0293696663975,671.0,796.359378292489,805.0,843.2860802505138,844.0,956.052611745451,957.0,967.3671524349011,1
118,4320,26.0,257.81245469042733,,,260.0,310.556081391097,317.0,590.7669323195578,636.0,760.697551689921,762.0,797.6450785610778,798.0,917.3494911221887,918.0,930.0941168314739,1
119,4320,26.0,257.81245469042733,,,260.0,310.556081391097,317.0,590.7669323195578,636.0,762.4045240191808,764.0,801.5213062014491,802.0,909.1614294566789,910.0,920.1982130681017,1
120,4320,26.0,49.57908179980586,,,75.0,362.5750161160149,369.0,415.44565406731544,428.0,553.1031458910375,555.0,590.1838888138436,591.0,695.0928263673213,696.0,706.7419051931565,1
121,4320,26.0,49.57908179980586,,,75.0,362.5750161160149,369.0,415.44565406731544,498.0,622.0472206335535,624.0,659.6814518011133,660.0,766.9360502752997,767.0,778.7220559565931,1
122,4320,27.0,71.78102139450584,,,77.0,263.07524456991905,264.0,321.70027175945506,338.0,464.7163563502636,482.0,522.3401527143988,523.0,629.6367930867418,630.0,640.5291329005831,1
123,5760,0.0,27.116169256313697,,,28.0,90.39524056543632,94.0,303.48934767373703,318.0,457.6585416643611,461.0,500.49970309825676,501.0,609.111632756817,610.0,620.6021218171554,1
124,5760,0.0,27.116169256313697,,,28.0,90.39524056543632,94.0,303.48934767373703,325.0,459.94624934253534,461.0,496.8036833168717,497.0,606.1151602091286,607.0,618.9644093975894,1
125,5760,0.0,23.918882674143788,,,24.0,77.38542396718276,78.0,566.8954420182263,578.0,703.596014939526,705.0,741.1100041918917,742.0,847.6975064064709,848.0,858.377498015816,1
126,5760,0.0,23.918882674143788,,,24.0,77.38542396718276,78.0,566.8954420182263,578.0,701.5640901515881,703.0,739.5377829788004,740.0,852.4112420637193,853.0,863.4067537636265,1
127,5760,0.0,22.97597308603872,23.0,85.43878283529375,,,86.0,129.5273733100803,148.0,272.56842938797126,283.0,320.3188028303157,321.0,425.877075119276,426.0,437.2347088013448,1
128,5760,0.0,22.97597308603872,23.0,85.43878283529375,,,86.0,129.5273733100803,156.0,281.43235715435185,292.0,327.12736300469714,328.0,435.45720533043186,436.0,446.6898554879508,1
129,5760,0.0,25.38329868025903,,,26.0,97.45441448231668,98.0,130.00607704452705,168.0,290.61361091052913,296.0,335.39673730673167,336.0,441.49344373465374,442.0,462.10384016647004,1
130,5760,0.0,23.751316995598245,,,24.0,71.50270564901712,73.0,100.47762269805298,119.0,247.62311923801462,250.0,289.025944012903,290.0,398.1734491716661,399.0,410.45915645405785,1
