,time_in,sample_preprocess_in,sample_preprocess_out,sample_receipt_in,sample_receipt_out,sample_prep_auto_in,sample_prep_auto_out,sample_prep_manual_in,sample_prep_manual_out,sample_heat_in,sample_heat_out,rna_extraction_in,rna_extraction_out,pcr_prep_in,pcr_prep_out,pcr_in,pcr_out,data_analysis_in,data_analysis_out,priority
56,2880,27.0,37.29978733680582,111.0,142.77228424359737,,,144.0,200.96702965097984,216.0,242.11005824506356,308.0,459.580996824714,464.0,505.9458865727911,506.0,644.0105462845045,645.0,656.963624308557,1
57,2880,36.0,48.46280984977375,122.0,245.04954692326783,,,246.0,279.67317280099996,280.0,307.8100219861494,329.0,480.1575621092975,485.0,546.969700818463,547.0,654.2649964631614,655.0,669.0816877175539,1
58,2880,36.0,48.46280984977375,122.0,245.04954692326783,,,246.0,279.67317280099996,280.0,307.8100219861494,339.0,483.2160009748136,502.0,566.3375706739653,567.0,673.8309185671933,674.0,684.0544834481784,1
59,2880,39.0,51.895854253430116,140.0,238.12619411305604,,,239.0,280.37168303488625,283.0,309.3538594878164,359.0,487.0984663809495,506.0,529.9636557965537,530.0,644.911222310192,645.0,657.477339830979,1
60,2880,54.0,69.12491838963251,239.0,272.1645364765559,,,280.0,322.177775802973,324.0,353.8961161430843,379.0,510.0834661112217,519.0,582.0393003021941,616.0,718.1114547201155,719.0,729.0889922752121,1
61,2880,54.0,69.12491838963251,239.0,272.1645364765559,,,280.0,322.177775802973,324.0,353.8961161430843,388.0,517.7123690304102,530.0,547.3548459734475,548.0,660.0193998547952,661.0,675.5827866672503,1
62,2880,61.0,71.63113651212007,247.0,287.5061504749606,,,293.0,325.3072518027352,336.0,366.0026648051057,399.0,529.7788480338795,547.0,561.1720391140539,562.0,675.6665333201931,676.0,687.7225089369927,1
63,2880,73.0,88.28796351487426,287.0,323.5557154290291,,,326.0,360.6730079648937,370.0,397.22919239478006,457.0,598.5891172180322,600.0,616.968921364813,626.0,729.9557583720175,730.0,745.2365960243274,1
64,2880,73.0,88.28796351487426,287.0,323.5557154290291,,,326.0,360.6730079648937,370.0,397.22919239478006,460.0,595.7272863363546,635.0,649.960884648875,650.0,756.0844445298853,757.0,773.015680255915,1
65,2880,78.0,89.42094525045604,300.0,331.62551239114464,,,336.0,373.77838711003506,377.0,418.3082000231948,509.0,643.7785856378441,645.0,660.7764874993477,661.0,768.0502991429171,769.0,784.6101773743076,1
66,2880,88.0,100.36474341532494,331.0,364.8234804932604,,,370.0,418.83261660070184,419.0,498.62670997025043,540.0,667.508168945752,683.0,696.9713595578542,697.0,804.4218024713282,805.0,815.1929564261504,1
67,2880,88.0,100.36474341532494,331.0,364.8234804932604,,,370.0,418.83261660070184,419.0,498.62670997025043,550.0,681.0505081050942,692.0,712.9538968129918,713.0,828.2567589200744,829.0,843.3578040041011,1
68,2880,92.0,107.78209968809915,341.0,383.93581049031945,,,384.0,419.1266505833046,452.0,535.6187319559253,561.0,690.8667637846588,696.0,715.1119858547668,716.0,830.9317994334665,831.0,841.8228703184359,1
69,2880,101.0,112.4056232092421,373.0,417.1305583857252,,,419.0,533.3414971003326,545.0,571.5147890283556,597.0,720.1881223127598,722.0,737.1156955426577,738.0,840.0156294027961,841.0,852.1432838792025,1
70,2880,101.0,112.4056232092421,373.0,417.1305583857252,,,419.0,533.3414971003326,545.0,571.5147890283556,610.0,744.3211900741921,746.0,762.481770745067,763.0,923.9533468071454,924.0,934.6475943312021,1
71,2880,103.0,113.06983156720071,374.0,409.9109538829962,,,416.0,516.7965623480763,531.0,557.9149173253286,590.0,718.2324766348052,739.0,753.4597734957647,754.0,877.5401248501526,878.0,888.3320289575418,1
72,4320,0.0,12.950763063792692,13.0,47.650440889643505,,,48.0,89.04594011066547,90.0,118.09488713546034,128.0,257.37528859300346,262.0,276.14947255449533,277.0,381.28262365511,382.0,395.135565764901,1
73,4320,0.0,12.950763063792692,13.0,47.650440889643505,,,48.0,89.04594011066547,90.0,118.09488713546034,136.0,260.52103886243276,270.0,285.405406167175,286.0,393.8674458655114,394.0,404.14155309197395,1
74,4320,0.0,15.250590097236454,16.0,47.79740066899285,,,48.0,85.38132629522624,86.0,126.50107419300184,145.0,268.6821007931958,284.0,297.9002324173598,298.0,411.9344555455218,412.0,423.299128028154,1
75,4320,0.0,15.637110895380829,40.0,74.57183201100179,,,75.0,108.60834997421989,115.0,152.86431091457598,180.0,318.06601189882986,369.0,384.99831107305454,385.0,499.9509068530506,500.0,510.60876799335983,1
76,4320,0.0,15.637110895380829,40.0,74.57183201100179,,,75.0,108.60834997421989,115.0,152.86431091457598,239.0,367.6827314656721,380.0,408.0753054041588,409.0,517.4624212489316,518.0,528.1661935936645,1
77,4320,11.0,21.584021644261156,44.0,88.29429191230611,,,90.0,133.7515866213207,134.0,248.81132500896,259.0,389.6104364573366,470.0,491.9402175269579,492.0,595.2938435193691,596.0,610.4339125984834,1
78,4320,11.0,21.584021644261156,44.0,88.29429191230611,,,90.0,133.7515866213207,134.0,248.81132500896,298.0,478.61074568322147,500.0,519.2129073050055,520.0,638.5805363906338,639.0,652.6399868004919,1
79,4320,12.0,26.053503673024352,48.0,81.94050870689898,,,85.0,125.04917034035498,126.0,156.84897133306822,248.0,380.72470942412565,382.0,399.6121165424456,400.0,521.6066583410775,522.0,535.1322256583962,1
80,4320,16.0,28.58090495374563,78.0,113.84836775662643,,,114.0,149.99432914936096,152.0,248.9254015615088,309.0,475.50841363173004,477.0,505.8765941897491,506.0,607.9017809284587,608.0,619.4923198214283,1
81,4320,22.0,34.30829159410223,82.0,116.43033296951216,,,124.0,247.16844449894234,248.0,460.5047209582908,479.0,604.8025770601971,606.0,625.793223771755,626.0,728.7303886503823,729.0,743.1690018308773,1
82,4320,22.0,34.30829159410223,82.0,116.43033296951216,,,124.0,247.16844449894234,248.0,460.5047209582908,479.0,609.5797681847207,611.0,630.2619702110014,631.0,732.6719346222817,733.0,746.9197079644046,1
83,4320,27.0,37.53865520020463,86.0,121.69176374403833,,,127.0,248.27293912944697,253.0,280.3077342284914,309.0,468.4352993625316,474.0,497.4431394295789,498.0,606.6979347063307,607.0,617.7988454490642,1
84,4320,29.0,41.02889381199384,114.0,163.52934541724971,,,185.0,230.21106325128676,231.0,303.42349781247594,346.0,498.2913191525804,505.0,543.4714119732917,544.0,649.0693870749892,650.0,663.1040913043325,1
85,4320,42.0,52.63048271487969,153.0,231.4675523432461,,,240.0,274.32682656200814,282.0,321.6879305583125,353.0,510.1689528495126,512.0,536.5638719964136,537.0,641.6749358989637,642.0,654.1625492686089,1
86,4320,56.0,68.18533955864586,205.0,247.2851742234434,,,275.0,311.7138347877162,323.0,540.706786022809,598.0,930.7495402922887,941.0,1063.0743652242509,1064.0,1179.6353675879736,1180.0,1192.874250604571,1
87,4320,56.0,68.18533955864586,205.0,247.2851742234434,,,275.0,311.7138347877162,323.0,540.706786022809,605.0,731.5252569711811,733.0,755.7194449446179,756.0,859.219257149035,860.0,870.5652360145414,1
88,4320,57.0,70.45510295036183,218.0,259.29103019324066,,,279.0,323.9961270630056,332.0,374.6981663350134,388.0,518.7012139749158,599.0,613.1347879830064,614.0,718.0737636590584,719.0,732.9560002440048,1
89,4320,65.0,75.97646094772881,240.0,269.52009166741664,,,302.0,349.12407755563345,354.0,541.7551694046915,571.0,861.1675652665826,863.0,878.2766775941891,879.0,1050.7115930167984,1051.0,1062.5582768100267,1
90,4320,65.0,75.97646094772881,240.0,269.52009166741664,,,302.0,349.12407755563345,354.0,541.7551694046915,571.0,730.6910921762183,732.0,746.7555975970745,747.0,848.1887442888019,849.0,862.1897370577399,1
91,4320,76.0,87.65467555996838,271.0,320.1028188792734,,,339.0,368.80136557387686,385.0,519.2636715690569,548.0,672.275564797762,674.0,694.4659077528322,695.0,796.6074240487305,797.0,808.7006711849044,1
92,4320,76.0,87.65467555996838,271.0,320.1028188792734,,,339.0,368.80136557387686,385.0,519.2636715690569,548.0,676.290783906702,678.0,698.2919921865496,699.0,800.3662286807375,801.0,815.6817319621432,1
93,4320,79.0,94.04858060956576,291.0,319.8780015546481,,,350.0,387.6264477986224,388.0,462.3509300175292,555.0,686.8691841915861,742.0,760.4330727978668,761.0,861.7221247375473,862.0,874.5643304946798,1
94,4320,79.0,94.04858060956576,291.0,319.8780015546481,,,350.0,387.6264477986224,388.0,462.3509300175292,563.0,782.8662861167122,797.0,812.7112997362483,813.0,981.3128697160691,982.0,995.398492464652,1
95,4320,80.0,91.44392999762658,298.0,337.72182851763773,,,354.0,395.8502231548973,398.0,512.5490926561251,541.0,665.6820420213471,667.0,683.8603759490725,684.0,785.8878282750493,786.0,798.4332362871755,1
129,2880,115.0,126.35096569604457,421.0,539.9987578936602,,,543.0,578.6236530202104,579.0,608.1342768722639,628.0,754.9332447800512,794.0,811.2475690190099,812.0,959.3322480642823,960.0,971.9206321593638,2
130,2880,115.0,126.35096569604457,421.0,539.9987578936602,,,543.0,578.6236530202104,579.0,608.1342768722639,658.0,792.312192942702,796.0,812.6503343893869,813.0,943.8591874198578,944.0,955.6662810523349,2
131,2880,124.0,137.3063386755748,502.0,548.6081730772039,,,549.0,584.653995096518,587.0,612.9114140022657,665.0,794.3381342362613,797.0,817.227608432318,818.0,933.2958371221639,934.0,945.4563388970319,2
132,2880,134.0,148.33130358755034,537.0,580.9716326344487,,,581.0,623.8749106314312,628.0,654.1096285287867,688.0,815.3058427141145,829.0,846.3890691052893,847.0,964.428810979035,965.0,975.409072932795,2
133,2880,134.0,148.33130358755034,537.0,580.9716326344487,,,581.0,623.8749106314312,628.0,654.1096285287867,698.0,827.6295079887514,846.0,875.0901552336154,876.0,1048.356701674265,1049.0,1061.2692870911033,2
134,2880,137.0,149.61312924592175,543.0,590.7119822154596,,,591.0,632.9352558160467,643.0,670.2729169952122,719.0,847.0141541651874,849.0,966.2761140171447,967.0,1073.31962246265,1074.0,1086.5851353735106,2
135,2880,154.0,164.43138722772346,596.0,643.6899743711579,,,644.0,684.285899161383,685.0,719.9928790663234,738.0,913.722432087789,919.0,950.1968822054887,951.0,1179.5008827578645,1180.0,1192.898280024202,2
136,2880,154.0,164.43138722772346,596.0,643.6899743711579,,,644.0,684.285899161383,685.0,719.9928790663234,759.0,940.3666873697557,951.0,971.1834325385335,972.0,1075.7612970467985,1076.0,1088.418996484062,2
137,2880,164.0,174.75911325901916,609.0,652.5466532035716,,,653.0,690.7272287243982,699.0,728.0680421420243,768.0,917.1787217439091,936.0,1034.985348142679,1035.0,1177.1234169903842,1178.0,1192.262718104067,2
138,2880,165.0,182.27406776092448,618.0,669.457166478895,,,670.0,710.7543667683394,711.0,741.3100345436919,768.0,934.8102112634401,939.0,1015.6853052418128,1016.0,1182.2702224663813,1183.0,1196.4846693274517,2
139,2880,183.0,195.01659139576395,644.0,676.832280546128,,,685.0,723.8416966166778,743.0,772.3884186612822,806.0,942.3355113857992,967.0,1001.9660157134476,1002.0,1174.4119810170146,1175.0,1185.2660960101216,2
140,2880,183.0,195.01659139576395,644.0,676.832280546128,,,685.0,723.8416966166778,743.0,772.3884186612822,819.0,947.1353104807854,972.0,1047.7056604895884,1049.0,1194.943670561046,1195.0,1207.8711938185306,2
141,2880,212.0,224.19073808280928,701.0,739.831142178788,,,744.0,783.7842145325599,789.0,814.7680254200727,856.0,988.6437125585821,1002.0,1045.5530590845228,1046.0,1187.4993733277397,1188.0,1198.280403609764,2
142,2880,212.0,224.19073808280928,701.0,739.831142178788,,,744.0,783.7842145325599,789.0,814.7680254200727,879.0,1056.2052755400941,1058.0,1075.9061663028497,1076.0,1191.0225892882504,1192.0,1207.3350347021792,2
143,2880,215.0,231.03432642872895,710.0,741.24881005309,,,752.0,793.8120486329913,804.0,831.2208747735326,848.0,973.5969242080482,1044.0,1063.6563482119714,1074.0,1184.8822489938088,1185.0,1197.8651792975838,2
144,4320,99.0,111.33405920798486,349.0,378.3228941318275,,,399.0,539.6161661035039,540.0,566.8200813559906,657.0,795.4565515648128,803.0,817.9380962946343,818.0,958.5328875826235,959.0,969.1857370414436,2
145,4320,112.0,123.7409576602995,393.0,514.7040412235701,,,517.0,547.4359924487007,562.0,591.0029465493617,666.0,880.4544197412206,882.0,1028.1023438152206,1029.0,1182.4618145233062,1183.0,1193.224358718645,2
146,4320,112.0,123.7409576602995,393.0,514.7040412235701,,,517.0,547.4359924487007,562.0,591.0029465493617,673.0,801.1678395896124,812.0,838.8364818957753,839.0,956.4287246393396,957.0,970.0399834439504,2
147,4320,117.0,130.96665757495794,401.0,523.3660878613036,,,531.0,569.1937273294006,570.0,597.9888681861894,687.0,812.1144637887865,866.0,884.2963371486558,885.0,1047.815881153183,1048.0,1058.9338724021,2
148,4320,125.0,135.76865581286347,461.0,511.34675953349597,,,540.0,581.4479378887982,597.0,633.024165674884,732.0,950.2092897083367,1005.0,1037.1704479761001,1038.0,1177.2148449477709,1178.0,1189.1908402285553,2
149,4320,136.0,151.44176438487102,530.0,565.938873070415,,,579.0,623.8276774134847,632.0,667.5281105976674,783.0,1003.1356702319408,1008.0,1034.915954766775,1035.0,1191.4249840109323,1192.0,1208.2620982293547,2
150,4320,140.0,153.1404868713371,547.0,578.9248839126021,,,597.0,643.3014212729131,654.0,680.5930790931661,796.0,939.8527535271824,941.0,988.8478449712757,989.0,1095.3556080902918,1096.0,1106.2113928464278,2
151,4320,140.0,153.1404868713371,547.0,578.9248839126021,,,597.0,643.3014212729131,654.0,680.5930790931661,802.0,939.7422356487905,951.0,1006.5897249106602,1007.0,1134.6019912423126,1135.0,1146.7193894074753,2
152,4320,165.0,176.67053145930458,597.0,630.2481135473345,,,644.0,679.5486290114568,687.0,737.4957685644758,862.0,1151.656326561225,1153.0,1246.4634855918457,1247.0,1348.2419221495538,1349.0,1360.9981253841606,2
153,4320,165.0,176.67053145930458,597.0,630.2481135473345,,,644.0,679.5486290114568,687.0,737.4957685644758,865.0,1006.6877806970215,1029.0,1058.5972525624584,1059.0,1194.004335919044,1195.0,1207.5788584500542,2
154,4320,186.0,198.58003451304194,635.0,673.4696429793148,,,679.0,721.8106646742835,722.0,749.2093066411489,931.0,1059.072211280587,1067.0,1083.416043453979,1084.0,1226.2697941138495,1227.0,1238.200942278807,2
155,4320,199.0,210.42789553338025,651.0,680.7513957134788,,,707.0,740.5066443457017,753.0,781.7035992356086,940.0,1069.0183526511682,1071.0,1085.7064429239454,1096.0,1335.925267085814,1336.0,1349.0770888005009,2
156,4320,199.0,210.42789553338025,651.0,680.7513957134788,,,707.0,740.5066443457017,753.0,781.7035992356086,940.0,1065.3690203330088,1075.0,1092.9744787425025,1135.0,1323.45426990152,1324.0,1337.834377939631,2
157,4320,209.0,222.66354370142108,674.0,708.2324836591288,,,722.0,769.2526210136621,776.0,802.4556500302742,951.0,1079.093410187148,1132.0,1188.3916249883187,1189.0,1309.5951308212398,1310.0,1323.3691276500094,2
