,time_in,sample_receipt_in,sample_receipt_out,sample_prep_auto_in,sample_prep_auto_out,sample_prep_manual_in,sample_prep_manual_out,sample_heat_in,sample_heat_out,rna_extraction_in,rna_extraction_out,pcr_prep_in,pcr_prep_out,pcr_in,pcr_out,data_analysis_indata_analysis_out
35,0,53.0,77.15834181015099,,,79.0,593.244737554446,594.0,639.4013540124157,659.0,787.1891095531001,789.0,826.3285156870809,827.0,938.386127151577,
36,0,439.0,489.49344627507406,,,545.0,656.8487115900429,657.0,687.4620069362228,698.0,823.8218866511187,825.0,862.5335333422927,863.0,968.1311125470422,
37,0,438.0,480.2491918676901,,,595.0,643.0790167823253,644.0,711.666826926881,728.0,855.5784918890627,857.0,896.1044872065734,897.0,1002.4876785379964,
38,0,438.0,480.2491918676901,,,595.0,643.0790167823253,644.0,711.666826926881,728.0,853.949527980013,855.0,892.261377316142,893.0,1013.1711524470484,
39,0,262.0,288.9843231167609,,,556.0,603.9819301565848,604.0,736.8685931568577,748.0,872.233569590652,874.0,915.45950593702,916.0,1024.4316936575876,
40,0,54.0,78.03054866127596,,,327.0,373.0929479030632,374.0,737.2567734612583,755.0,879.0689770475362,881.0,920.4891632024514,921.0,1027.8401567811031,
41,0,54.0,78.03054866127596,,,327.0,373.0929479030632,374.0,737.2567734612583,755.0,880.2503152240097,882.0,923.0047992194942,924.0,1028.795384050425,
42,0,178.0,224.54218574991953,,,648.0,709.466425153305,710.0,741.2786707868673,777.0,904.4019693680024,906.0,942.5106320804354,943.0,1047.1319062790442,
43,0,178.0,224.54218574991953,,,648.0,709.466425153305,710.0,741.2786707868673,777.0,903.0115436027611,905.0,943.9138692092723,944.0,1052.0897082689635,
44,0,522.0,564.0232177393744,,,594.0,685.1975936392281,686.0,749.3430300148142,770.0,894.0099151141685,896.0,945.6083708476722,946.0,1052.0064727261895,
45,0,430.0,478.735353568513,,,592.0,639.165614190453,640.0,769.8572964247975,792.0,916.0497285663838,918.0,953.7413169999987,954.0,1062.1349352246764,
46,0,248.0,270.1765906117731,,,286.0,588.3613402473097,589.0,767.3773096353124,799.0,922.3080251348341,924.0,964.6601530907652,965.0,1069.730512971297,
47,0,248.0,270.1765906117731,,,286.0,588.3613402473097,589.0,767.3773096353124,799.0,923.2281157331176,925.0,962.8511870406783,963.0,1071.4937319073697,
